epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,52.4324,1.01683,0.80789,0.84519,0.98337,0.75,0.74574,0.32301,1.95984,0.93425,1.10539,0.0011585,0.0011585,0.0011585
87,52.9898,1.02283,0.85264,0.83455,0.9829,0.75,0.74577,0.35606,1.80084,0.87977,1.09397,0.0011486,0.0011486,0.0011486
88,53.5409,1.0009,0.83631,0.8081,0.98197,0.75,0.74575,0.38097,1.67062,0.87994,1.07772,0.0011387,0.0011387,0.0011387
89,54.0785,0.95189,0.82393,0.80306,0.98197,0.75,0.74575,0.38097,1.67062,0.87994,1.07772,0.0011288,0.0011288,0.0011288
90,54.6671,0.94545,0.8007,0.82697,0.98146,0.75,0.74575,0.38098,1.58337,0.84465,1.06799,0.0011189,0.0011189,0.0011189
91,55.2401,0.93112,0.76402,0.83129,0.9862,0.75,0.74577,0.37275,1.71994,0.86437,1.06719,0.001109,0.001109,0.001109
92,55.8072,0.9725,0.79483,0.83321,0.98545,0.75,0.91167,0.48889,1.69006,0.87742,1.05937,0.0010991,0.0010991,0.0010991
93,56.353,1.00611,0.85418,0.83822,0.98545,0.75,0.91167,0.48889,1.69006,0.87742,1.05937,0.0010892,0.0010892,0.0010892
94,56.9114,1.1548,0.88565,0.83985,0.98318,0.75,0.91167,0.53034,1.5975,0.80918,1.07124,0.0010793,0.0010793,0.0010793
95,57.4862,1.05372,0.85366,0.84342,1,0.97733,0.995,0.5138,1.61422,0.73777,1.08998,0.0010694,0.0010694,0.0010694
96,58.0479,1.12603,0.85525,0.83298,0.97605,0.75,0.74579,0.42249,1.81638,0.78151,1.11637,0.0010595,0.0010595,0.0010595
97,58.585,1.13946,0.92457,0.8314,0.97605,0.75,0.74579,0.42249,1.81638,0.78151,1.11637,0.0010496,0.0010496,0.0010496
98,59.1506,1.07438,0.79883,0.87906,0.97505,0.75,0.7458,0.36432,1.87931,0.73554,1.13962,0.0010397,0.0010397,0.0010397
99,59.7932,0.9896,0.78736,0.82492,0.97318,0.75,0.74581,0.33131,1.88357,0.75978,1.12931,0.0010298,0.0010298,0.0010298
100,60.348,1.06752,0.83029,0.82898,0.9721,0.75,0.74579,0.43065,1.79238,0.73239,1.11304,0.0010199,0.0010199,0.0010199
101,60.8948,1.01638,0.80141,0.82736,0.9721,0.75,0.74579,0.43065,1.79238,0.73239,1.11304,0.00101,0.00101,0.00101
